Anas rubripes,American Black Duck,6924
Fulica americana,American Coot,473
Spinus tristis,American Goldfinch,145310
Falco sparverius,American Kestrel,4665
Turdus migratorius,American Robin,12727
Spizelloides arborea,American Tree Sparrow,474210
Scolopax minor,American Woodcock,3936
Myiarchus cinerascens,Ash-throated Flycatcher,16010
Haliaeetus leucocephalus,Bald Eagle,5305
Icterus galbula,Baltimore Oriole,9346
Strix varia,Barred Owl,19893
Megaceryle alcyon,Belted Kingfisher,2548
Poecile atricapillus,Black-capped Chickadee,144815
Nycticorax nycticorax,Black-crowned Night Heron,4981
Setophaga caerulescens,Black-throated Blue Warbler,199916
Cyanocitta cristata,Blue Jay,8229
Certhia americana,Brown Creeper,7458
Molothrus ater,Brown-headed Cowbird,10373
Bucephala albeola,Bufflehead,6993
Branta canadensis,Canada Goose,7089
Thryothorus ludovicianus,Carolina Wren,7513
Bombycilla cedrorum,Cedar Waxwing,7428
Chaetura pelagica,Chimney Swift,6571
Spizella passerina,Chipping Sparrow,9135
Quiscalus quiscula,Common Grackle,9602
Gavia immer,Common Loon,4626
Mergus merganser,Common Merganser,7004
Corvus corax,Common Raven,8010
Geothlypis trichas,Common Yellowthroat,9721
Accipiter cooperii,Cooper's Hawk,5112
Junco hyemalis,Dark-eyed Junco,10094
Spiza americana,Dickcissel,10676
Anser anser domesticus,Domestic Greylag Goose,120479
Anas platyrhynchos domesticus,Domestic Mallard,236935
Nannopterum auritum,Double-crested Cormorant,1454382
Dryobates pubescens,Downy Woodpecker,792988
Tyrannus tyrannus,Eastern Kingbird,16782
Sayornis phoebe,Eastern Phoebe,17008
Buteo jamaicensis borealis,Eastern Red-tailed Hawk,494355
Melospiza melodia melodia,Eastern Song Sparrow,515821
Meleagris gallopavo silvestris,Eastern Wild Turkey,319123
Sturnus vulgaris,European Starling,14850
Passer domesticus domesticus,European house sparrow,544795
Columba livia domestica,Feral Pigeon,122767
Passerella iliaca,Fox Sparrow,9156
Regulus satrapa,Golden-crowned Kinglet,117100
Dumetella carolinensis,Gray Catbird,14995
Larus marinus,Great Black-backed Gull,4368
Ardea herodias,Great Blue Heron,4956
Myiarchus crinitus,Great Crested Flycatcher,16028
Bubo virginianus,Great Horned Owl,20044
Aythya marila,Greater Scaup,7047
Butorides virescens,Green Heron,5020
Anas crecca,Green-winged Teal,6937
Anser anser × Branta canadensis,Greylag × Canada Goose,514057
Dryobates villosus,Hairy Woodpecker,792990
Catharus guttatus,Hermit Thrush,12890
Larus argentatus,Herring Gull,204533
Lophodytes cucullatus,Hooded Merganser,7109
Podiceps auritus,Horned Grebe,4209
Haemorhous mexicanus,House Finch,199840
Passer domesticus,House Sparrow,13858
Troglodytes aedon,House Wren,7562
Charadrius vociferus,Killdeer,4793
Chondestes grammacus,Lark Sparrow,10479
Aythya affinis,Lesser Scaup,7054
Anas platyrhynchos,Mallard,6930
Anas platyrhynchos × cairina moschata,Mallard × Muscovy Duck,326092
Falco columbarius,Merlin,4672
Zenaida macroura,Mourning Dove,3454
Cygnus olor,Mute Swan,6921
Cardinalis cardinalis,Northern Cardinal,9083
Colaptes auratus,Northern Flicker,18236
Mimus polyglottos,Northern Mockingbird,14886
Colaptes auratus luteus,Northern Yellow-shafted Flicker,555736
Leiothlypis celata,Orange-crowned Warbler,979757
Pandion haliaetus,Osprey,116999
Seiurus aurocapilla,Ovenbird,62550
Falco peregrinus,Peregrine Falcon,4647
Vireo philadelphicus,Philadelphia Vireo,17364
Podilymbus podiceps,Pied-billed Grebe,4246
Melanerpes carolinus,Red-bellied Woodpecker,18205
Mergus serrator,Red-breasted Merganser,6996
Sitta canadensis,Red-breasted Nuthatch,14823
Buteo jamaicensis,Red-tailed Hawk,5212
Agelaius phoeniceus,Red-winged Blackbird,9744
Aythya americana,Redhead,7056
Larus delawarensis,Ring-billed Gull,4364
Aythya collaris,Ring-necked Duck,7044
Columba livia,Rock Pigeon,3017
Corthylio calendula,Ruby-crowned Kinglet,1289388
Archilochus colubris,Ruby-throated Hummingbird,6432
Oxyura jamaicensis,Ruddy Duck,850859
Melospiza melodia,Song Sparrow,9100
Actitis macularius,Spotted Sandpiper,72458
Tachycineta bicolor,Tree Swallow,11935
Baeolophus bicolor,Tufted Titmouse,13632
Vireo gilvus,Warbling Vireo,17394
Sitta carolinensis,White-breasted Nuthatch,14801
Zonotrichia leucophrys,White-crowned Sparrow,9176
Zonotrichia albicollis,White-throated Sparrow,9184
Meleagris gallopavo,Wild Turkey,906
Aix sponsa,Wood Duck,7107
Setophaga petechia,Yellow Warbler,145238
Sphyrapicus varius,Yellow-bellied Sapsucker,18463